Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,Referee
2024-08-10,Man United,Leicester,2,1,H,A Marriner
2024-08-11,Bournemouth,Cardiff,2,0,H,K Friend
2024-08-11,Fulham,Crystal Palace,0,2,A,M Dean
2024-08-11,Huddersfield,Chelsea,0,3,A,C Kavanagh
2024-08-11,Newcastle,Tottenham,1,2,A,M Atkinson
2024-08-11,Watford,Brighton,2,0,H,J Moss
2024-08-11,Wolves,Everton,2,2,D,C Pawson
2024-08-12,Arsenal,Man City,0,2,A,M Oliver
2024-08-12,Liverpool,West Ham,4,0,H,A Taylor
2024-08-12,Southampton,Burnley,0,0,D,G Scott
2024-08-18,Cardiff,Newcastle,0,0,D,C Pawson
2024-08-18,Chelsea,Arsenal,3,2,H,M Atkinson
2024-08-18,Everton,Southampton,2,1,H,L Mason
2024-08-18,Leicester,Wolves,2,0,H,M Dean
2024-08-18,Tottenham,Fulham,3,1,H,A Taylor
2024-08-18,West Ham,Bournemouth,1,2,A,S Attwell
2024-08-19,Brighton,Man United,3,2,H,K Friend
2024-08-19,Burnley,Watford,1,3,A,P Tierney
2024-08-19,Man City,Huddersfield,6,1,H,A Marriner
2024-08-20,Crystal Palace,Liverpool,0,2,A,M Oliver
2024-08-25,Arsenal,West Ham,3,1,H,G Scott
2024-08-25,Bournemouth,Everton,2,2,D,L Probert
2024-08-25,Huddersfield,Cardiff,0,0,D,M Oliver
2024-08-25,Liverpool,Brighton,1,0,H,C Kavanagh
2024-08-25,Southampton,Leicester,1,2,A,J Moss
2024-08-25,Wolves,Man City,1,1,D,M Atkinson
2024-08-26,Fulham,Burnley,4,2,H,D Coote
2024-08-26,Newcastle,Chelsea,1,2,A,P Tierney
2024-08-26,Watford,Crystal Palace,2,1,H,A Taylor
2024-08-27,Man United,Tottenham,0,3,A,C Pawson
2024-09-01,Brighton,Fulham,2,2,D,L Probert
2024-09-01,Chelsea,Bournemouth,2,0,H,L Mason
2024-09-01,Crystal Palace,Southampton,0,2,A,M Atkinson
2024-09-01,Everton,Huddersfield,1,1,D,S Attwell
2024-09-01,Leicester,Liverpool,1,2,A,P Tierney
2024-09-01,Man City,Newcastle,2,1,H,K Friend
2024-09-01,West Ham,Wolves,0,1,A,C Kavanagh
2024-09-02,Burnley,Man United,0,2,A,J Moss
2024-09-02,Cardiff,Arsenal,2,3,A,A Taylor
2024-09-02,Watford,Tottenham,2,1,H,A Marriner
2024-09-15,Bournemouth,Leicester,4,2,H,C Pawson
2024-09-15,Chelsea,Cardiff,4,1,H,J Moss
2024-09-15,Huddersfield,Crystal Palace,0,1,A,L Mason
